,symbol,price2021-01-17,price2020-06-01,price_change,compare_to_btc
0,ETHUSDT,1209.05,253.8,376.3790386131,35.98
14,WAVESUSDT,6.555,1.1918,450.0083906696,46.45
29,THETAUSDT,2.017,0.305,561.3114754098,57.07
39,ERDUSDT,0.01971,0.003016,553.5145888594,56.47
54,CVCUSDT,0.15019,0.03122,381.069827034,36.77
56,BANDUSDT,9.6318,1.9649999999999999,390.1679389313,38.24
57,RENUSDT,0.60475,0.0985,513.9593908629,53.12
78,LENDUSDT,0.51431,0.07100000000000001,624.3802816901,61.41
84,SNXUSDT,15.323,3.398,350.9417304297,31.34
92,YFIUSDT,33695.69,7199.0,368.0607028754,34.53
